10000	380.6	380.6	16932	15790
20000	381.2	381.2	16932	16311
30000	381.8	381.8	16932	16851
40000	382.4	382.3	16932	17410
50000	383	382.8	16932	17985
60000	383.5	383.2	16932	18577
70000	384.1	383.6	16932	19183
80000	384.7	384	16932	19801
90000	385.3	384.4	16932	20429
100000	385.9	384.7	16932	21063
110000	386.5	385.1	16932	21703
120000	387.1	385.4	16932	22345
130000	387.7	385.7	16932	22988
140000	388.3	385.9	16932	23631
150000	388.9	386.2	16932	24271
160000	389.4	386.4	16932	24907
170000	390	386.7	16932	25539
180000	390.6	386.9	16932	26166
190000	391.2	387.1	16932	26788
200000	391.8	387.3	16932	27404
210000	392.4	387.5	16932	28014
230000	393.6	387.9	16932	29215
240000	394.2	388.1	16932	29807
250000	394.8	388.2	16932	30393
260000	395.4	388.4	16932	30973
270000	395.9	388.6	16932	31547
280000	396.5	388.7	16932	32117
290000	397.1	388.9	16932	32681
300000	397.7	389	16932	33241
310000	398.3	389.2	16932	33796
320000	398.9	389.3	16932	34348
330000	399.5	389.5	16932	34896
340000	400.1	389.6	16932	35440
350000	400.7	389.7	16932	35982
360000	401.3	389.9	16932	36520
370000	401.9	390	16932	37056
380000	402.4	390.1	16932	37588
390000	403	390.2	16932	38117
400000	403.6	390.4	16932	38643
410000	404.2	390.5	16932	39164
420000	404.8	390.6	16932	39679
430000	405.4	390.7	16932	40187
440000	406	390.8	16932	40687
460000	407.2	391	16932	41655
470000	407.8	391.2	16932	42116
480000	408.3	391.3	16932	42558
490000	408.9	391.4	16932	42975
500000	409.5	391.5	16932	43360
510000	410.1	391.7	16932	43702
520000	410.7	391.8	16932	43987
530000	411.3	392	16932	44187
540000	411.9	392.2	16932	44249
550000	412.5	392.5	16932	44073
560000	413.1	392.9	16932	43330
570000	413.7	791.9	16932	1384
580000	414.3	803.9	16932	1368
590000	414.8	815.7	16932	1354
600000	415.4	827.4	16932	1341
610000	416	839.1	16932	1329
620000	416.6	850.6	16932	1317
630000	417.2	862.1	16932	1307
640000	417.8	873.5	16932	1297
650000	418.4	884.9	16932	1287
660000	419	896.1	16932	1279
670000	419.6	907.4	16932	1270
680000	420.2	918.5	16932	1263
690000	420.8	929.6	16932	1255
700000	421.3	940.7	16932	1249
710000	421.9	951.6	16932	1242
720000	422.5	962.6	16932	1236
730000	423.1	973.5	16932	1230
740000	423.7	984.3	16932	1225
750000	424.3	995.1	16932	1219
760000	424.9	1006	16932	1214
770000	425.5	1017	16932	1210
780000	426.1	1027	16932	1205
790000	426.7	1038	16932	1201
800000	427.2	1049	16932	1197
810000	427.8	1059	16932	1193
820000	428.4	1070	16932	1189
830000	429	1080	16932	1185
840000	429.6	1091	16932	1182
850000	430.2	1101	16932	1179
860000	430.8	1111	16932	1176
870000	431.4	1122	16932	1173
880000	432	1132	16932	1170
890000	432.6	1143	16932	1167
900000	433.2	1153	16932	1165
910000	433.7	1163	16932	1162
920000	434.3	1173	16932	1160
930000	434.9	1184	16932	1157
940000	435.5	1194	16932	1155
950000	436.1	1204	16932	1153
960000	436.7	1214	16932	1151
970000	437.3	1224	16932	1149
980000	437.9	1234	16932	1147
990000	438.5	1244	16932	1145
1000000	439.1	1255	16932	1144
