T,P,rho,h,cp,mu,k
557.0,23.0,768.1550938173679,1249950.344359957,4991.94020341802,9.721521415916101e-05,0.5976830962809556
558.0,23.0,766.490016405879,1254948.7519434642,5004.9148990325875,9.682802302757574e-05,0.5963668817915337
559.0,23.0,764.8138515572141,1259960.255175675,5018.132656889917,9.644210236119356e-05,0.5950411350230235
560.0,23.0,763.126412032133,1264985.1006342024,5031.6005553851755,9.60574033562976e-05,0.5937057878400807
561.0,23.0,761.4275049165515,1270023.542120425,5045.325966101991,9.567387710006771e-05,0.5923607693106394
562.0,23.0,759.7169313868336,1275075.8409602751,5059.316569249948,9.52914745398003e-05,0.5910060055950297
563.0,23.0,757.9944864626364,1280142.2663210148,5073.580370090802,9.49101464510291e-05,0.5896414198293876
564.0,23.0,756.259958746484,1285223.0955449443,5088.1257164291,9.452984340445853e-05,0.5882669320030107
565.0,23.0,754.5131301492711,1290318.614501136,5102.961317248427,9.415051573163132e-05,0.5868824588293299
566.0,23.0,752.7537756006844,1295429.1179564802,5118.096262583357,9.37721134892182e-05,0.5854879136100553
567.0,23.0,750.9816627436295,1300554.9099671878,5133.540044723995,9.339458642184386e-05,0.5840832060921461
568.0,23.0,749.1965516115355,1305696.304292269,5149.3025808596685,9.30178839233259e-05,0.5826682423171127
569.0,23.0,747.3981942873779,1310853.624830389,5165.394237278637,9.264195499620986e-05,0.5812429244621857
570.0,23.0,745.5863345431804,1316027.2060817615,5181.825855251089,9.226674820947387e-05,0.579807150672849
571.0,23.0,743.7607074586257,1321217.3936368178,5198.608778735329,9.189221165426156e-05,0.5783608148861783
572.0,23.0,741.9210390172766,1326424.5446935813,5215.75488406133,9.151829289748697e-05,0.5769038066443798
573.0,23.0,740.0670456788646,1331649.0286057529,5233.276611759309,9.114493893315974e-05,0.5754360108979322
574.0,23.0,738.1984339258405,1336891.2274638005,5251.187000720952,9.077209613123836e-05,0.5739573077975905
575.0,23.0,736.3148997823464,1342151.5367114427,5269.499724896957,9.039971018382924e-05,0.5724675724745591
576.0,23.0,734.4161283035398,1347430.3658001963,5288.229132758091,9.002772604851703e-05,0.5709666748080132
577.0,23.0,732.501793033025,1352728.1388848715,5307.39028976961,8.96560878885973e-05,0.5694544791791121
578.0,23.0,730.5715554259473,1358045.2955631742,5326.999024157143,8.92847390099627e-05,0.5679308442105804
579.0,23.0,728.625064235101,1363382.2916628218,5347.071976270444,8.891362179437094e-05,0.5663956224908485
580.0,23.0,726.661954857087,1368739.6000799655,5367.62665188866,8.85426776287907e-05,0.5648486602816538
581.0,23.0,724.6818486353608,1374117.7116730998,5388.681479846172,8.817184683050461e-05,0.563289797207949
582.0,23.0,722.6843521166493,1379517.1362168335,5410.255874404826,8.78010685676073e-05,0.561718865928834
583.0,23.0,720.6690562568358,1384938.4034206981,5432.370302846637,8.74302807744972e-05,0.560135691788094
584.0,23.0,718.6355355721254,1390382.064018312,5455.046358818009,8.705942006193585e-05,0.5585400924429046
585.0,23.0,716.5833472307369,1395848.690933056,5478.306842022552,8.668842162118236e-05,0.5569318774690037
586.0,23.0,714.5120300799983,1401338.8805268537,5502.175844931213,8.63172191216805e-05,0.5553108479406011
587.0,23.0,712.4211036030654,1406853.2539395147,5526.678847266647,8.594574460169744e-05,0.553676795983061
588.0,23.0,710.3100667989492,1412392.4585267627,5551.842819112787,8.557392835126853e-05,0.5520295042962801
589.0,23.0,708.1783969787316,1417957.1694061265,5577.6963336165045,8.520169878670499e-05,0.5503687456464058
590.0,23.0,706.0255484701709,1423548.091120743,5604.269690374711,8.482898231586344e-05,0.5486942823234497
591.0,23.0,703.8509512218392,1429165.959432428,5631.595050753325,8.445570319325078e-05,0.5470058655619745
592.0,23.0,701.6540092970833,1434811.5432565904,5659.706586556279,8.408178336396289e-05,0.54530323492194
593.0,23.0,699.4340992466628,1440485.6467531738,5688.640643668393,8.370714229528446e-05,0.5435861176262865
594.0,23.0,697.1905683478533,1446189.111589493,5718.435922528925,8.333169679468443e-05,0.541854227851786
595.0,23.0,694.9227326959643,1451922.8193928294,5749.13367757305,8.295536081272739e-05,0.5401072659690678
596.0,23.0,692.6298751326348,1457687.6944129507,5780.777938098806,8.257804522926457e-05,0.5383449177275447
597.0,23.0,690.3112429930522,1463484.706417408,5813.415753401573,8.219965762102314e-05,0.5365668533804006
598.0,23.0,687.9660456519134,1469314.8738454212,5847.097465464381,8.182010200846713e-05,0.534772726744372
599.0,23.0,685.5934518451274,1475179.2672498156,5881.877013023812,8.143927857950016e-05,0.5329621741885142
600.0,23.0,683.1925867410044,1481079.013060519,5917.812271459696,8.105708338722813e-05,0.5311348135455147
601.0,23.0,680.7625287308659,1487015.297708014,5954.965433702198,8.067340801859304e-05,0.5292902429384725
602.0,23.0,678.3023059046097,1492989.37215068,5993.403438236992,8.0288139230215e-05,0.5274280395153229
603.0,23.0,675.8108921714851,1499002.5568566357,6033.19845135105,7.990115854721123e-05,0.5255477580822434
604.0,23.0,673.2872029802417,1505056.2472983485,6074.428412027431,7.95123418201052e-05,0.5236489296264845
605.0,23.0,670.7300905854943,1511151.9200275876,6117.177649421341,7.91215587341519e-05,0.5217310597180242
606.0,23.0,668.1383387986078,1517291.139408939,6161.5375846794,7.87286722644885e-05,0.5197936267783622
607.0,23.0,665.5106571512106,1523475.565102978,6207.607531072358,7.833353806942681e-05,0.5178360802035444
608.0,23.0,662.8456743871461,1529706.9604056457,6255.495609087163,7.793600381287796e-05,0.5158578383270699
609.0,23.0,660.141931184455,1535987.2015681996,6305.319796360061,7.753590840539414e-05,0.513858286207081
610.0,23.0,657.3978719912067,1542318.2882444076,6357.209136286952,7.713308115139543e-05,0.5118367732204002
611.0,23.0,654.6118358385331,1548702.3552372605,6411.305133955682,7.672734078799e-05,0.5097926104446423
